,Arousal,Arousal.std,Frequency,Valence,Valence.std
#1reasonppldontgethelp4mistigma,2.78839976549,1.32611793518,11.840338707,1.46820199966,0.828823709488
#2014gcc,2.47528266758,1.26067330569,0.510522276163,2.55142003477,0.963878483176
#2014uef,2.49936301112,0.927598643303,1.54599773884,3.3290484643,0.809072149992
#226,2.72793728352,1.21168088078,102.628708482,3.74760316133,0.67536311388
#232,2.56237567902,1.13814259529,96.4000558853,3.52015687943,0.63437456131
#290,3.50885340095,1.51002941668,0.895449280739,1.53041791379,1.07267374277
#30ecb,2.52157695532,1.3389365238,1.56296092272,3.12592184544,1.15138121307
#3dprinted,2.82259907842,1.10943108201,1.0320289135,3.20960992098,0.820462986231
#47traitors,2.4819665122,1.19092236042,1.58087038994,1.84961835623,1.01702661753
#4h,3.25177198827,1.03769027114,0.513708055019,3.74493172109,0.559941779971
#509,3.26396071911,1.28511345387,0.568634271622,1.35334956646,0.972364604473
#52hikechallenge,2.13081270218,1.57041547775,0.651624679565,3.42754581451,0.94485578537
#56,3.19111690342,1.01833430409,0.504125893116,3.67507776082,0.549497223496
#__4NUM____4NUM__,1.87452485561,1.1090938729,16.662443161,2.88468547225,0.968504508734
#aasa,2.79257551014,1.25899044335,0.518103063107,1.85480896592,1.07765437126
#abidjan,2.42325203419,1.23256770134,2.99166917801,3.05150256157,0.723983941078
#abusedtaxpayers,2.532766155,1.4354188931,1.10843157768,1.55734636664,1.06409431458
#acampo,2.90314763784,1.22364073992,10.197006166,3.64692926407,1.2476336956
#acsm,1.8214246875,1.27347519934,1.52208191156,2.73467383444,1.01979488075
#acsm15,2.89407420814,0.988832052946,1.03527182341,3.55928031623,0.688514608741
#acsm2015,2.94445556939,1.00453222156,1.03989034891,3.61599472225,0.696091118455
#actionjaxonk9,2.82160159171,1.56642258346,31.1243575215,4.09719001472,0.811274237037
#acton,2.99028784037,1.54430961609,18.4353628159,2.17833097458,0.936671869755
#adamsave,2.91460824966,1.12512450814,0.0,2.08951694369,1.07690488636
#adlife,3.03262947083,1.17068417072,0.0,2.17412774563,1.12051199198
#adulted,2.9675532347,1.21592266381,1.13885521889,3.12536879599,0.929007234573
#adventuredogs,2.11533278346,1.55900673032,0.646890759468,3.4026453948,0.937991601229
#adventuremobile,2.93316032887,1.79383358955,0.606024861336,1.16356773376,0.799952816963
#adventuretraining,2.71941051185,1.43819848299,1.01281583309,3.99049438238,0.521600154042
#aess2015,2.62852975428,1.08553346694,1.02826470137,2.57949710965,0.936712369919
#agent,3.17849402905,1.40541620314,0.593002617359,2.60328149021,0.966594266295
#ahhhhhhh,2.77057167649,1.22631861091,16.6537095308,3.32569532752,0.837732055187
#ahl,3.24973873258,1.03704142809,0.513386845589,3.74259010434,0.559591661692
