,Arousal,Arousal.std,Frequency,Valence,Valence.std
#100mtrs,2.73190047741,1.04695587158,7.49773085117,2.65010704994,0.926992177963
#24consejodistritaldf,2.40804566145,1.11183546782,6.78275506496,2.55889770985,1.06155145168
#2genc,2.3858567816,1.10159048617,6.72025552869,2.53531880736,1.05176981091
#43vivosya,4.27868763208,0.944645321369,4.66210249782,0.922418372631,0.900191423893
#4forocmet,2.26000136673,1.04348090947,6.36575791001,2.40157917857,0.996288305521
#911,2.63278784573,1.30851132452,19.8010870314,4.00961502254,0.840810489655
#abrahamcruzvillegas,2.5152235508,1.16857731342,11.5243981719,3.48347332478,1.00163769722
#aburridatime,2.68209956348,1.00245470762,1.04511235476,3.07135059357,1.04511235476
#accidente,3.76004228354,1.02546607733,8.13861966133,1.09057503462,0.618535094261
#accionglobalporlafriendzone,2.36573410034,1.02515144348,0.562518997192,1.50881263733,0.914750518799
#adultosmayores,2.59182056665,1.28815034151,19.4929738426,3.94722373724,0.827727127075
#afcnorth,3.69674453735,1.13212801456,3.09602355003,1.04548556447,0.953066951036
#afectacionvial,2.6857554388,1.02927154541,7.37108528614,2.60534359932,0.911334180832
#afiliatealprd,2.53644730568,0.948016090393,0.988357200623,2.90455993652,0.988357200623
#ajedrez,2.93488366723,1.04731454849,1.03466650128,1.92266429901,1.09559664607
#alertaplateda,3.06123064935,1.52144996345,23.0233873987,4.66211374342,0.977638530731
#allas,2.25822184801,1.04265927553,6.36074553013,2.39968818188,0.99550383091
#alternativasverdes,2.22277071118,1.02629088521,6.26089012384,2.36201620817,0.979875719547
#altocorrupcion,3.16038331509,1.2022645998,3.80463480949,3.63215803146,0.887748122215
#amimppuebla2014,3.29714151025,1.25428978801,3.96927148104,3.7893311739,0.926163345575
#anilloperiferico,2.91221871257,1.11454571128,9.14457463781,1.93631005764,0.85911489447
#anpact,3.35312054038,1.37297431588,1.07212337017,1.02289321542,0.743922338486
#antemasque,2.78357383728,1.06636911392,7.41952594757,3.10398521423,0.91116985321
#apodosparazorras,3.68873672485,1.12967562199,3.08931700706,1.043220855,0.951002436876
#apoyototaladiosdado,3.77025601864,1.03909164369,0.0,1.4592707783,1.13561928272
#aquieneldesmadre,2.47270964146,1.1488252759,11.329605459,3.42459344149,0.984707379341
#argentinavsholanda,3.30841563284,1.35466937006,1.05782946825,1.00925566614,0.734004120827
#asesfalsos,2.92782901347,1.40474045813,95.743610639,4.06499986053,0.674069597125
#asombromkt,3.8023387146,1.04793371201,0.0,1.47168832779,1.14528274536
#asvoffmx,2.46620466471,1.14580305219,11.2998005766,3.41558433652,0.982116901875
#atenco,4.28487435579,0.946011221409,4.66884361625,0.923752133846,0.901493046284
#autopistadelsol,2.67126375496,0.84295743227,4.57930929422,2.72822033823,0.871435723901
#av608,2.52099373102,1.15981271505,9.66007686317,2.32984018624,0.973495232463
#avancecomplicado,2.40994214237,1.11212814689,9.28274854571,2.22517485291,0.932688353956
#avchapultepec,2.94811038494,1.1298147583,8.09112131596,2.85984360695,1.00035681725
#avconstituyentes,2.95063281417,1.12232155204,9.16365022004,1.96866228402,0.866610551476
#avinsurgentes,2.9037057054,1.10819199383,9.06417269329,1.93997245252,0.855792938073
#avmontevideo,2.60628258109,1.18839315414,9.83605385423,2.41502719641,0.999933111668
#avrevolucion,2.63484464347,1.21002153635,10.0656303036,2.43635416806,1.01613678157
#avtlahuac,2.48333948642,1.13292277455,9.38039528489,2.30075461894,0.953123063743
#avuniversidad,2.89480206728,1.10938522339,7.94481605291,2.8081313467,0.982268166542
#aytozinapa,2.68530981243,0.847389876842,4.60338824987,2.74256588519,0.876017913222
#bagelsnomadas,2.79295543134,0.898647451401,65.2846949637,2.49170429707,1.02119028568
#bajapresion,2.57113594234,1.05744004309,0.289856661558,2.74290285289,1.05744004309
#basquetbol,2.66276540041,1.13117477536,1.96704286158,1.25129953027,0.740769321918
#bbc,3.47250730276,1.42185861826,1.11029597282,1.05931299448,0.770409450531
#beatlemania,2.73636205316,1.12945525646,0.0,1.39128352046,1.00110806823
#beck,2.45344284534,0.994638991356,2.36673072815,2.02498297215,1.08135110855
#bestcoast,2.4114825362,0.977628055215,2.32625342369,1.99035045087,1.06285716772
#betun,2.7905336237,1.17989005566,1.67307161331,3.70198308468,1.29226053715
#bicampeonato,3.61959425926,1.05550045967,24.0911543941,4.06238957405,0.803210105896
#bienquiensabecomo,3.26509875104,1.1967006053,1.02909878775,1.67500921458,0.848049728572
#bill,3.77012066364,1.03905433953,0.0,1.45921838939,1.13557851315
#bizcoclub,2.69986064315,1.09453809857,2.60443937302,2.22836730838,1.18995936871
#bodakarinyhugo,3.44465927243,1.28746708393,1.34225291729,3.94458000183,1.34225291729
#bodascolectivascdmx,2.81813472748,0.903248310089,0.923893985748,3.06072141647,0.8722797966
#brandonflowers,2.85157680511,1.36815547943,93.2500696182,3.95913124084,0.656514167786
#brrrrrr,2.99924116611,1.13928772211,43.5260899973,3.1370154953,1.11279265881
#buenavance,2.83050127566,1.08474300385,7.76834182441,2.74575572848,0.960449534655
#calzdetlalpan,2.595462538,1.19639209628,9.97825284094,2.39727734953,1.00366549104
#calzermita,2.45970139086,1.12730052948,9.36415906608,2.27577175021,0.947197123766
#calzvallejo,2.97780807137,1.14119590759,8.1726269424,2.88865214109,1.01043387651
#camilamalagente,3.0468337822,1.11682927489,1.47195010424,0.895522091389,0.488934475183
#canacar,2.26512567163,1.04584688783,6.38019156694,2.4070244956,0.998547279835
#canaldelnorte,2.83105909646,1.08495677948,7.76987276971,2.74629684806,0.960638815165
